"","dataset","citation","n","dataset_index","best_model","h00","0m0","hm0","00b","h0b","0mb","hmb"
"27","70_Clyde, W. C., and P. D. Gingerich. 1994. Rates of evolution in the dentition of Early Eocene Cantius: comparison of size and shape. Paleobiology 20:506-522.","Clyde, W. C., and P. D. Gingerich. 1994. Rates of evolution in the dentition of Early Eocene Cantius: comparison of size and shape. Paleobiology 20:506-522.",20,70,"h00"," 0.000000","25.062854"," 1.986333"," 9.323358"," 1.999977"," 8.772515"," 3.959620"
"28","72_Clyde, W. C., and P. D. Gingerich. 1994. Rates of evolution in the dentition of Early Eocene Cantius: comparison of size and shape. Paleobiology 20:506-522.","Clyde, W. C., and P. D. Gingerich. 1994. Rates of evolution in the dentition of Early Eocene Cantius: comparison of size and shape. Paleobiology 20:506-522.",20,72,"h00"," 0.000000","23.834567"," 1.854034"," 9.684379"," 1.971712","10.173733"," 3.144142"
"29","140_Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.","Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.",57,140,"h00"," 0.000000","66.852417"," 1.479395","19.085725"," 1.214830","14.144817"," 3.207569"
"30","141_Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.","Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.",55,141,"h00"," 0.0000000","61.4327817"," 1.5156159","16.6076520"," 0.6428272","10.6130742"," 2.4752356"
"31","142_Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.","Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.",57,142,"h00"," 0.000000","72.303377"," 1.586771","20.373828"," 1.066708","14.263711"," 2.974252"
"32","143_Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.","Hodell, D. A., and A. Vayavananda. 1993. Middle Miocene paleoceanography of the western equatorial Pacific (DSDP site 289) and the evolution of Globorotalia (Fohsella). Marine Micropaleontology 22:279-310.",57,143,"h00"," 0.0000000","80.9312683"," 1.5518009","24.0717013"," 0.7954045","16.3239640"," 2.5906738"
"33","184_Kellogg, D. E. 1976. Character displacement in the radiolarian genus, Eurcyrtidium. Evolution 29:736-749.","Kellogg, D. E. 1976. Character displacement in the radiolarian genus, Eurcyrtidium. Evolution 29:736-749.",24,184,"h00"," 0.000000","12.631966"," 1.996194"," 4.267413"," 1.967969"," 3.502346"," 3.601497"
"34","201_Kucera, M., and B. A. Malmgren. 1998. Differences between evolution of mean form and evolution of new morphotypes: an example from late Cretaceous planktonic foraminifera. Paleobiology 24:49-63.","Kucera, M., and B. A. Malmgren. 1998. Differences between evolution of mean form and evolution of new morphotypes: an example from late Cretaceous planktonic foraminifera. Paleobiology 24:49-63.",24,201,"00b","3.0553745","8.4961013","3.9872299","0.0000000","1.9557214","0.9709191","2.7520895"
"35","202_Kucera, M., and B. A. Malmgren. 1998. Differences between evolution of mean form and evolution of new morphotypes: an example from late Cretaceous planktonic foraminifera. Paleobiology 24:49-63.","Kucera, M., and B. A. Malmgren. 1998. Differences between evolution of mean form and evolution of new morphotypes: an example from late Cretaceous planktonic foraminifera. Paleobiology 24:49-63.",24,202,"h00"," 0.0000000","31.1444734"," 0.8551571","14.7365534"," 0.5783520"," 8.9826381"," 2.4943001"
"36","203_Kucera, M., and B. A. Malmgren. 1998. Differences between evolution of mean form and evolution of new morphotypes: an example from late Cretaceous planktonic foraminifera. Paleobiology 24:49-63.","Kucera, M., and B. A. Malmgren. 1998. Differences between evolution of mean form and evolution of new morphotypes: an example from late Cretaceous planktonic foraminifera. Paleobiology 24:49-63.",24,203,"h00"," 0.000000","25.852358"," 1.934121"," 9.484478"," 1.981225"," 7.269840"," 3.747808"
"37","219_Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240","Malmgren, B. A., and J. P. Kennett. 1981. Phyletic gradualism in a Late Cenozoic planktonic foraminiferal lineage, DSDP Site 284, Southwest Pacific. Paleobiology, Vol. 7, no 2: 230-240",36,219,"h00"," 0.000000","31.500734"," 1.368570","10.360223"," 1.641500"," 8.655063"," 3.277913"
